Symbol,Last,Change,High,Low,Volume,Theta,Time,Asked,Bid,Date,Delta,Description,Exp.Date,Gamma,Mid IV,Item Type,Market Price,Open,Open Interest,Original Price,Prob.Finish.ITM,Projected Volty,Time Premium,Vega,Ask IV,Call/Put,At Price,Existing Posn.,Bid IV,Pcnt To Double,Percent O/U,Previous Close,Rho,Strike Price,Th.Price,SV,Trade
ESH5,2010.75,-35.5,2048.25,2009.5,1470007,,21:00:00,2010.75,2010.5,150105,100,ES MAR FUTURES,,0,,F,2010.631,2043.5,2746750,0,,,,,, ,0,,,,,2046.25,,,,0.157,
ESM5,2004.25,-34.75,2041.25,2003.5,1232,,21:00:00,2003.75,2003.25,150105,100.224,ES JUN FUTURES,,0,,F,2003.536,2036.75,8589,0,,,,,, ,0,,,,0,2039,,,2004.522,0.157,
ESU5,2005,-28,2030.5,2005,5,,21:00:00,1998.5,1997.75,150105,100.449,ES SEP FUTURES,,0,,F,1998.452,2030.5,626,0,,,,,, ,0,,,,0.003,2033,,,1998.41,0.157,
ESZ5,1995,-32,2038.75,1995,16,,21:00:00,1994.75,1990,150105,100.675,ES DEC FUTURES,,0,,F,1992.5,2010,142,0,,,,,, ,0,,,,0.001,2027,,,1992.281,0.157,
ESH6,,,,,,,,,,,100.901,ES MAR FUTURES,,0,,F,0,,,0,,,,,, ,0,,,,,,,,1986.127,0.157,
ESM6,,,,,,,,,,,101.127,ES JUN FUTURES,,0,,F,0,,,0,,,,,, ,0,,,,,,,,1979.938,0.157,
EW2F5P1690,-1,,,,,-1.562,21:00:00,0.1,,150105,-0.075,JanW2 1690 Puts,150110,0.002,,G,0.05,,138,0,0,0.495,0.05,0.486,,P,,,,0.02,,,0,1690,0.05,0.157,
ESF5P1690,0.5,0.1,0.5,0.4,372,-7.953,21:00:00,0.6,0.5,150105,-1.027,Jan 1690 Puts,150117,0.018,0.421,G,0.55,0.45,3996,0,0,0.421,0.55,5.003,0.426,P,,,0.416,0.02,0,0.4,-0.009,1690,0.55,0.157,
EW4F5P1690,1,,1,1,2,-10.236,21:00:00,1.35,1.2,150105,-1.935,JanW4 1690 Puts,150124,0.027,0.376,G,1.25,1,111,0,0,0.376,1.25,10.845,0.381,P,,,0.374,0.024,0,,-0.033,1690,1.25,0.157,
EW1G5P1690,-1,,,,,-12.46,21:00:00,3.4,3,150105,-3.793,FebW1 1690 Puts,150207,0.041,0.335,G,3.2,,,0,0,0.335,3.2,25.037,0.339,P,,,0.331,0.031,0,,-0.144,1690,3.2,0.157,
ESG5P1690,4.45,0.5,4.45,3.65,133,-12.507,21:00:00,5.25,5,150105,-5.156,Feb 1690 Puts,150221,0.048,0.308,G,5.1,3.65,1095,0,0.001,0.308,5.1,38.258,0.31,P,,,0.308,0.036,0.02,3.95,-0.322,1690,5,0.157,
ESH5P1690,10.5,3.75,10.5,9.75,47,-13.567,21:00:00,10.5,10.25,150105,-8.266,Mar 1690 Puts,150320,0.058,0.292,G,10.5,9.75,652,0,0.008,0.292,10.5,69.149,0.292,P,,,0.29,0.047,0,6.75,-1.065,1690,10.5,0.157,
EW3J5P1690,,,,,,-1.676,,,,,-2.625,AprW3 1690 Puts,150418,0.055,,G,0,,,0,0.024,0.154,,22.873,,P,,,,0.015,,,-0.147,1690,1.05,0.157,
EW2F5P1695,-1,,,,,-1.648,21:00:00,0.1,,150105,-0.08,JanW2 1695 Puts,150110,0.002,,G,0.05,,258,0,0,0.49,0.05,0.516,,P,,,,0.019,,,0,1695,0.05,0.157,
ESF5P1695,0.4,-0.25,0.6,0.4,204,-7.97,21:00:00,0.65,0.5,150105,-1.046,Jan 1695 Puts,150117,0.018,0.415,G,0.55,0.5,770,0,0,0.415,0.55,5.083,0.424,P,,,0.41,0.02,0,0.65,-0.009,1695,0.55,0.157,
EW4F5P1695,1.05,,1.05,1.05,2,-10.813,21:00:00,1.4,1.3,150105,-2.069,JanW4 1695 Puts,150124,0.029,0.375,G,1.35,1.05,,0,0,0.375,1.35,11.478,0.377,P,,,0.373,0.024,0,,-0.035,1695,1.35,0.157,
EW1G5P1695,-1,,,,,-13.016,21:00:00,3.65,3.15,150105,-4.009,FebW1 1695 Puts,150207,0.043,0.334,G,3.4,,,0,0,0.334,3.4,26.192,0.339,P,,,0.33,0.031,0,,-0.153,1695,3.4,0.157,
ESG5P1695,5.25,0.9,5.25,4.2,69,-12.775,21:00:00,5.5,5,150105,-5.392,Feb 1695 Puts,150221,0.05,0.306,G,5.25,4.2,1615,0,0.001,0.306,5.25,39.636,0.31,P,,,0.303,0.036,0,4.35,-0.338,1695,5.25,0.157,
ESH5P1695,10.5,,10.5,10,13,-13.739,21:00:00,11,10.5,150105,-8.481,Mar 1695 Puts,150320,0.059,0.29,G,10.75,10,294,0,0.009,0.29,10.75,70.492,0.292,P,,,0.288,0.047,0,,-1.09,1695,10.75,0.157,
EW3J5P1695,,,,,,-1.809,,,,,-2.855,AprW3 1695 Puts,150418,0.059,,G,0,,,0,0.026,0.154,,24.659,,P,,,,0.015,,,-0.162,1695,1.15,0.157,
EW2F5P1700,-1,,,,,-1.74,21:00:00,0.1,0.05,150105,-0.086,JanW2 1700 Puts,150110,0.002,,G,0.1,,3189,0,0,0.485,0.1,0.548,,P,,,,0.019,,,0,1700,0.05,0.157,
ESF5P1700,0.65,0.2,0.65,0.4,596,-8.539,21:00:00,0.65,0.55,150105,-1.134,Jan 1700 Puts,150117,0.02,0.413,G,0.6,0.5,22946,0,0,0.413,0.6,5.451,0.418,P,,,0.408,0.02,0,0.45,-0.01,1700,0.6,0.157,
EW4F5P1700,1.35,0.15,1.35,1.35,500,-11.115,21:00:00,1.45,1.35,150105,-2.157,JanW4 1700 Puts,150124,0.03,0.372,G,1.4,1.35,52,0,0,0.372,1.4,11.891,0.374,P,,,0.37,0.024,0,1.2,-0.036,1700,1.4,0.157,
EW1G5P1700,-1,,,,,-13.278,21:00:00,3.75,3.25,150105,-4.148,FebW1 1700 Puts,150207,0.044,0.332,G,3.5,,17,0,0,0.332,3.5,26.927,0.336,P,,,0.327,0.031,0,,-0.158,1700,3.5,0.157,
ESG5P1700,5.5,1.5,5.5,3.9,436,-13.193,21:00:00,5.5,5.25,150105,-5.637,Feb 1700 Puts,150221,0.051,0.306,G,5.5,3.9,8199,0,0.002,0.306,5.5,41.048,0.306,P,,,0.302,0.036,0,4,-0.355,1700,5.5,0.157,
